xj1,xj2,xj3,xj4,xj5,xj6,xj7,xj8,xj9,xj10,xj11,xj12,xj13,xj14,xj15,xj16,xj17,xj18,xj19,xj20,xw1,xw2,xw3,xw4,xw5,xw6,xw7,xw8,xw9,xw10,xw11,xw12,xw13,xw14,xw15,xw16,xw17,xw18,xw19,xw20,xr1,xr2,xr3,xr4,xr5,xr6,xr7,xr8,xr9,xr10,xr11,xr12,xr13,xr14,xr15,xr16,xr17,xr18,xr19,xr20,yj1,yj2,yj3,yj4,yj5,yj6,yj7,yj8,yj9,yj10,yj11,yj12,yj13,yj14,yj15,yj16,yj17,yj18,yj19,yj20,yw1,yw2,yw3,yw4,yw5,yw6,yw7,yw8,yw9,yw10,yw11,yw12,yw13,yw14,yw15,yw16,yw17,yw18,yw19,yw20,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,zj1,zj2,zj3,zj4,zj5,zj6,zj7,zj8,zj9,zj10,zj11,zj12,zj13,zj14,zj15,zj16,zj17,zj18,zj19,zj20,zw1,zw2,zw3,zw4,zw5,zw6,zw7,zw8,zw9,zw10,zw11,zw12,zw13,zw14,zw15,zw16,zw17,zw18,zw19,zw20,zr1,zr2,zr3,zr4,zr5,zr6,zr7,zr8,zr9,zr10,zr11,zr12,zr13,zr14,zr15,zr16,zr17,zr18,zr19,zr20
0.60333884,0.60693014,0.62488663,-6.159084,-0.044292733,-0.08140286,-1.3060371,-0.51475334,0.1364695,0.16160862,0.4237737,0.29927522,0.2777274,-0.37828386,-0.15562311,-0.20111294,0.04309563,1.3311762,-2.2122424,-0.24540567,-0.47450083,-3.107225,-3.8135145,-4.7125373,-4.6586676,-5.3769283,-7.4910083,-8.154202,-9.426421,-8.581567,-8.028806,-6.4190044,-8.585009,-7.6659346,-9.63741,-7.3225164,-8.890718,-8.013244,-10.990434,-9.156475,1.9613001,0.09861118,0.89588034,-0.64837974,1.5626655,0.9473557,0.55590373,3.3188124,3.029114,1.5985786,1.5590742,3.4588733,0.49724576,2.4018333,4.058621,1.0550947,0.4026748,2.624494,0.17043723,-0.22340895,2.0277393,2.0217538,2.037316,1.7117046,2.7172692,2.6717794,1.9451393,2.3270144,2.3545477,2.274342,2.3916578,2.4227824,2.9710546,2.2061071,2.6215012,2.3868694,0.470311,-1.1661259,5.303007,2.9423242,0.7754221,4.2179847,2.4319103,1.3269863,2.1829133,1.5472529,2.7395654,2.8808231,2.3608325,3.2300773,3.971831,4.517709,3.9359179,4.221726,2.7841573,4.8109984,4.006547,5.0157027,4.007744,3.653402,2.582745,1.2000936,-2.1086931,-1.1749545,-0.3669114,-1.5269021,-0.12030864,-0.670975,-1.9554642,-1.3186066,0.801459,-5.121796,-1.774702,-0.9498995,-1.2503718,-2.4714148,-1.9985598,-3.1465795,-1.9219455,-1.3245921,9.5214405,9.48912,9.51785,5.8631005,9.383775,9.301174,9.541792,9.429264,-3.3150716,9.475951,9.42687,9.438841,10.313922,9.380183,9.395745,9.447221,9.436447,5.27293,-0.65511346,9.297583,7.3657618,6.0507464,5.8532248,5.6940103,6.3488245,5.5539494,6.3500214,0.43993455,-0.72678983,-2.592621,-0.25288755,-1.4039,-1.4911387,-2.593968,-1.5563807,-1.582717,-1.3085809,-0.9578303,-0.68249714,0.4619313,6.108207,7.342418,9.428965,9.869498,6.217143,7.1688385,9.133281,5.3037553,8.776545,5.227141,7.2634096,6.3607955,5.9717374,8.130111,6.893505,6.5750766,8.957307,7.495647,5.965752,10.308834
0.61171854,0.62249243,0.61291564,-8.307879,-0.04189853,-0.062249243,-1.1599907,-0.5518635,-1.0893618,0.15682021,0.4321534,0.30645782,0.2645593,-0.45609543,-0.20350714,-0.24779987,-0.6332663,0.985214,-1.9608512,-0.23343466,-0.8192659,-3.1120133,-4.661062,-3.9092824,-5.506215,-6.3872814,-8.151808,-7.7052894,-7.766042,-9.170541,-7.1621046,-6.605752,-6.8731546,-7.931691,-8.057237,-6.6521397,-7.9318404,-6.7862153,-9.349208,-9.962124,1.8368016,0.14888942,1.8344074,0.3847183,0.7091326,2.1169233,0.14290391,1.745822,4.701464,3.0255227,0.9545383,5.250933,3.6408327,1.6811785,2.306065,3.206285,0.91623104,2.6987143,1.84159,-0.50233346,2.012177,2.0217538,2.0409074,6.1337953,2.701707,2.701707,1.8781016,2.3174376,1.5345336,2.2803276,2.3952491,2.4251766,2.9722517,2.1402667,2.6035447,2.4335563,2.7459998,-0.47420156,6.5647516,2.9195793,1.1165959,4.338892,3.5224693,2.416348,3.2028434,2.3971944,1.8022354,2.285864,2.5763106,3.011008,4.066402,4.7774796,3.3349733,4.5245924,2.9960442,3.8269818,3.1625907,4.098724,3.1099184,3.854515,2.3768437,2.2655134,0.6171055,0.06404489,-1.751957,-0.43514615,0.57520694,-0.9020155,-1.5652094,-2.0069396,-1.8261774,-2.8868086,-1.3652935,-1.6226702,-1.5711949,-1.8632874,-3.3800142,-1.0911574,-2.4690206,-1.6382325,9.507075,9.502287,9.499893,6.180332,9.326313,9.359832,9.460389,9.459191,-4.4164042,9.442432,9.444826,9.436447,9.11682,9.260473,9.349058,9.390957,9.631575,-0.1678934,19.6956,9.260473,7.541436,5.4498014,4.2000284,7.4322004,6.5164185,6.3368535,6.072294,0.6135142,-0.33174658,-2.3939025,-0.5210382,-1.6995839,-0.1683423,-2.1414638,-0.7734768,-1.6329952,-0.06838439,-0.68489134,-1.6353894,1.6626234,7.5926123,7.4226236,8.886678,8.44375,8.55987,4.4238863,8.239047,7.105392,5.229535,6.4302273,6.9784994,6.8288617,5.3899465,8.096592,6.688801,6.0507464,8.049905,5.9861026,6.950966,7.611766
0.62249243,0.61171854,0.62249243,-1.5131354,-0.039504327,-0.06943185,-1.0175357,-0.5758055,-0.10175357,0.1340753,0.4321534,0.29688102,0.40102878,-0.34237084,-0.15083471,-0.25977087,-0.12928689,-0.5530606,0.46208093,-0.2669535,-0.08304887,-3.0581439,-6.4591074,-4.201375,-6.252009,-8.385242,-7.2348285,-9.065196,-7.2345295,-9.887604,-8.221539,-8.33676,-7.876325,-8.60925,-8.779089,-7.5020814,-7.438635,-7.399131,-7.679252,-10.970082,0.9533412,0.14050971,2.4401405,2.754978,2.1648073,1.9792566,0.04833295,-0.011522096,2.352752,2.896236,1.0957962,2.6388593,2.2881086,1.7003322,1.1520599,2.4257753,1.685967,1.093402,2.4377463,-0.53345805,2.022951,2.0169654,2.025345,3.543269,2.761562,2.6969185,2.1378725,2.3030725,3.969437,2.2922986,2.4012346,2.4251766,2.7196634,2.3521535,2.607136,2.431162,2.3880665,1.1742063,3.6545992,2.9626749,0.5479729,4.5232453,4.2419267,3.34051,4.2850223,1.7663223,0.26994625,3.447052,3.197606,3.7029321,4.8540945,5.810578,4.709245,5.542128,3.801693,4.304625,4.0472484,4.9761987,2.8250084,4.360889,4.669292,7.00723,6.7283053,4.911106,4.5256395,9.130887,6.333262,8.79091,8.164826,6.109404,8.252214,4.980538,6.8767457,7.9313917,7.8104844,7.0024414,8.79929,7.438186,4.771045,6.8611836,9.503485,9.507075,9.50947,7.2481465,9.367015,9.38138,9.365818,9.404125,-6.9015856,9.440038,9.440038,9.431659,9.288006,9.225757,9.382577,9.440038,9.437644,-4.8461637,2.140117,9.262867,6.745364,5.5910597,5.4498014,8.587403,6.6720414,5.047576,5.671265,0.007781155,0.55096567,-1.9665375,0.6060323,-0.71796125,-0.9576807,-1.6039655,-0.59510875,-1.3432968,0.4739023,-0.8417115,0.12794015,0.69776016,6.105813,8.495226,4.5340195,5.286996,7.281366,6.2566476,6.986879,9.964069,6.345233,7.9649105,5.4486046,7.2286935,7.0862384,6.2769985,8.379107,6.060323,6.1524997,7.575853,7.695563,4.672883
0.6368576,0.62608373,0.62009823,-0.9708488,-0.061052144,-0.075417355,-1.0833763,-0.5446809,-0.40222588,0.16280572,0.4357447,0.29209262,0.32800564,-0.35434186,-0.14963761,-0.2633622,-0.21787235,-1.4041992,1.5957354,-0.25857377,0.60693014,-2.9575872,-6.562058,-5.8868933,-6.217293,-8.992172,-3.8877347,-10.963798,-9.559299,-9.670929,-9.606585,-11.3702135,-9.491214,-9.331101,-9.341726,-9.488071,-8.7710085,-8.759037,-8.246678,-8.573486,-0.34192193,-0.37663785,0.7270891,1.3172598,2.8184242,1.1748048,0.77497315,0.34401685,0.14769232,3.3906386,1.6620249,1.8763059,2.860323,0.6911761,1.5016134,2.4006362,1.9589059,-0.16475101,2.5107694,0.9724948,2.0073886,2.0301335,2.0169654,1.8685248,2.7100866,2.7100866,2.0804117,2.2946928,8.098238,2.2887073,2.4191911,2.4191911,2.7112837,2.3162405,2.632275,2.4347534,2.2779334,4.16217,-9.420136,2.9626749,0.104297414,4.518457,5.7143607,2.3133974,4.9398365,0.83018947,0.6075287,3.445855,4.4342113,4.4164042,6.8017774,6.9298673,5.9135284,5.9383683,4.9568954,5.123442,5.0839376,5.311387,4.0412626,3.3768718,2.106299,1.7196354,0.23882163,1.0552444,1.5089456,-2.2439656,-1.1737574,0.6925228,-2.1493945,-3.2878375,0.45789108,-3.4195185,-3.2267854,-2.022502,-0.52133745,-1.6645688,-2.0679917,-2.1936872,-4.252701,-4.4478283,9.487922,9.49271,9.519047,19.6956,9.387365,9.485528,9.432856,9.436447,-2.287959,9.462783,9.423279,9.423279,9.323919,9.414899,9.3861685,9.405322,9.404125,-6.643012,2.9685109,9.272444,6.9213376,6.1860185,3.8229415,6.455366,3.9211037,3.8109705,6.1249666,-0.56922144,0.6239888,-0.18884265,0.9448118,-1.8468274,0.1388637,-1.0090064,-0.16534956,0.1818097,1.5369278,0.81387895,0.015412673,-0.835726,5.5898623,9.534309,6.8647747,5.825691,6.177639,9.721058,5.607819,8.031948,8.862736,6.643311,7.047931,6.2925606,8.5299425,5.761048,6.5762734,7.756615,5.345654,9.252991,7.2885485,5.8424506
0.62967503,0.60573304,0.61530983,-0.80804306,-0.029927522,-0.11731588,-1.0055647,-0.48841715,-1.1180922,0.17717093,0.4333505,0.30526072,0.31603462,0.037110128,-0.15083471,-0.24899697,-0.21667525,-1.899799,-0.3172317,-0.25258827,0.58777654,-3.0090625,-6.5213566,-4.713734,-5.7013426,-6.18138,-2.265663,-12.552351,-10.994923,-11.085902,-7.812729,-9.751733,-10.166678,-10.006267,-10.53793,-11.213094,-9.866356,-11.30168,-9.229498,-7.4099045,-1.6192285,-0.7992145,-0.2653075,0.64927757,2.6867433,1.9996073,2.0750246,1.0251672,1.3639468,3.5773861,2.2414217,3.5247138,3.0997431,3.4097922,0.75103116,2.98123,0.393098,0.5068226,2.0582652,2.1695957,2.0169654,2.013374,2.0504842,-0.8548796,2.7448027,2.6969185,2.0049944,2.322226,9.097816,2.297087,2.406023,2.4251766,2.713678,2.6825533,2.6226983,2.4467244,2.358139,5.5196824,1.7559973,2.9542952,0.8165724,4.317344,2.3660698,1.9387048,1.8417397,0.9247604,1.869273,2.6318262,5.726631,5.0772038,6.3850365,4.57517,6.931064,5.12434,5.3496943,5.571158,5.312584,5.58672,4.5213003,3.2643445,2.9753942,1.3868413,0.97384155,1.1234791,1.822586,-2.9921536,1.3640964,-0.86011696,-1.2060791,-2.7503393,-0.24839842,-1.9099745,-2.2870612,-2.094328,-0.83856916,-2.546832,-1.9794062,-1.1617863,-3.5332432,-2.132635,9.50947,9.515455,9.510667,8.99711,9.323919,9.36462,9.455601,9.522638,7.2014594,9.444826,9.437644,9.429264,9.34427,9.380183,9.3622265,9.401731,9.41849,-7.251139,11.416451,9.259275,7.1200566,6.5846534,5.1277814,5.1241903,4.6082397,3.067571,4.7099934,-0.20051439,-0.19482817,-0.59705406,0.5030816,-1.4074913,-0.21068975,-0.42122987,-0.8560767,-0.4777929,1.6686089,0.08125322,1.229273,-0.7639,7.413047,7.2550297,9.668385,9.11293,7.563882,8.501212,7.0634937,5.561132,8.022371,5.8628016,8.826823,5.903503,6.0699,4.9613843,5.0092683,6.3512187,7.390302,7.627328,5.777807,7.518392
0.61770403,0.60693014,0.6344634,1.7178397,-0.020350715,-0.093373865,-1.1097125,-0.5710171,-0.6967127,0.1448492,0.4321534,0.2873042,0.30765492,-0.051475335,-0.1604115,-0.2693477,-0.25139117,-1.0773908,0.12449849,-0.24540567,0.7374141,-3.193416,-5.732467,-1.7114053,-5.860557,-5.691766,-0.5981015,-9.058013,-8.070405,-9.609877,-7.427263,-7.555053,-7.551013,-9.2425165,-7.6804495,-9.661652,-9.7897415,-9.790938,-10.721086,-7.117812,0.87074125,-1.7090111,-0.7860463,-0.7309797,0.030376434,4.5099277,1.2250831,2.5514708,0.23627777,1.3328222,2.161216,3.9436991,1.414225,3.5737948,1.8188452,4.1627684,0.2733879,-0.07736264,1.0550947,2.186355,2.0205567,2.034922,2.0217538,-3.1449335,2.773533,2.6753707,2.084003,2.3042696,6.9478235,2.2911015,2.4263737,2.4383447,2.73762,2.5807998,2.6131215,2.4586954,2.3270144,6.1625257,4.2471642,2.9914055,0.5005378,4.0467997,1.75076,1.690905,1.6944963,1.7112557,3.1238346,2.1757307,5.4776344,3.868132,5.357924,3.4642603,5.50412,4.6263456,5.0097175,3.8209963,5.061193,3.4606688,5.621436,3.306243,4.51726,0.31304187,-0.6769605,1.4155718,0.17298107,-0.55605334,-1.6071079,-0.27234045,-3.1908724,-1.6729485,-2.7611132,-3.816956,-1.3688848,-1.6226702,-1.0145429,-1.1162965,-1.9087774,-2.9981391,-2.6629508,-3.532046,9.511864,9.502287,9.503485,12.20175,9.333496,9.2664585,9.41011,10.40969,19.6956,9.443629,9.429264,9.411307,9.363423,9.399337,9.347861,9.416096,9.408914,-3.35697,10.440814,9.265262,7.0015435,5.3384714,6.755839,4.5040917,5.8843493,3.1465795,5.810129,-0.57041854,-0.76225394,-1.165677,-0.6940192,-0.61141926,-1.246182,-0.95513684,-1.7120038,-1.6329952,0.8892963,0.020201078,0.24765024,-0.9326912,7.0383544,5.831677,11.089344,10.7769,9.430161,4.051588,6.667253,5.9106855,6.9342065,7.9146323,8.539519,4.8548427,7.2526355,6.509236,6.880337,5.1517234,9.251794,5.999271,6.3141084,7.351995
0.61770403,0.61411273,0.62728083,-1.4568717,-0.020350715,-0.06464344,-1.0534488,-0.62249243,-0.09935937,0.15442601,0.4249708,0.2873042,0.31364042,0.004788403,-0.142455,-0.2669535,-0.21906945,-2.0171149,-0.061052144,-0.24301147,0.49081135,-3.8027406,-4.807108,-4.139126,-4.0026565,-6.279542,-0.4209306,-7.3353853,-7.0792055,-8.275109,-6.899341,-7.1432505,-6.7657146,-8.153154,-7.3488526,-7.9486,-6.927473,-7.877971,-8.092252,-8.966136,1.4417584,0.021996727,0.33444005,-1.1200374,0.17402853,1.3364135,0.9473557,2.136077,3.207482,0.5247791,4.0681977,2.5634418,0.75462246,2.9489083,1.5099931,2.24621,2.0474913,1.8439842,-0.49515083,2.8220155,2.001403,2.025345,2.0325277,0.8761282,2.771139,2.716072,2.0923827,2.380884,1.6374843,2.3138463,2.416797,2.417994,2.7316346,2.6334722,2.6466403,2.4634838,2.3677158,6.502502,1.3094786,2.973449,0.811784,3.7427359,2.3624785,1.1270704,3.0113072,1.8381484,3.376423,1.8596961,4.2266636,3.3390136,4.564246,3.6306572,4.5476365,4.019416,4.3477206,3.0189388,4.4973583,3.4786255,4.4614453,4.2830772,2.4271219,0.84575176,1.4981717,-0.46866497,0.492607,-2.131438,-0.65900403,-1.7363948,-0.32621,-1.8130093,-0.54168814,-2.0332758,0.13946225,-2.8389246,-1.3808558,-2.545635,0.15981296,-1.7076644,-1.5520413,-3.141791,9.504682,9.513062,9.513062,7.090129,9.323919,9.337088,9.457994,14.336181,4.6372695,9.465178,9.420884,9.425673,9.334693,9.355043,9.35265,9.412505,9.462783,8.886977,9.02225,9.259275,7.005135,5.2965727,6.0483522,6.1285577,5.93343,4.3795934,7.1125746,0.7846996,-1.5810709,-1.1345524,-0.9358336,-0.15053543,-2.1763294,-1.0544962,-1.8017864,-0.59391165,-0.61067104,1.2256817,-1.1014824,1.1358991,6.39192,5.8149176,5.4857144,7.864354,8.028357,7.433398,7.5375457,5.514445,4.055179,8.333617,5.5683146,7.781754,8.959702,8.350377,7.5447283,8.302493,6.815694,4.8416743,10.513538,6.9090676
0.62847793,0.60812724,0.60693014,-0.9552865,-0.04309563,-0.075417355,-1.0474633,-0.6967127,1.0019734,0.16280572,0.4225766,0.31364042,0.29328972,-0.02873042,-0.18555063,-0.24660277,-0.23343466,-1.8088194,-0.17836803,-0.2633622,0.7493851,-3.8374565,-7.0289273,-4.9184384,-5.175815,-8.142231,-2.6894367,-8.667758,-6.5848026,-7.668179,-7.3195233,-9.436895,-7.2840595,-7.810784,-7.01965,-7.1321774,-6.8340993,-8.300548,-7.464971,-11.486033,0.6253356,0.2733879,0.595408,1.0503063,0.89109194,-0.96202016,2.885462,1.9852421,2.9596822,1.2226889,2.2988825,2.245013,1.1472715,4.356699,2.3659203,0.2769792,2.045097,2.7633576,-0.22700025,2.5634418,2.0181625,2.022951,2.0397103,0.82345575,2.73762,2.7172692,2.0863972,2.309058,-6.0371294,2.3006783,2.429965,2.4144027,2.736423,2.5927708,2.595165,2.4682722,2.3270144,6.892757,2.499397,2.98542,0.8417115,3.5739446,2.6437972,2.3708582,3.4422636,2.0907366,3.1226375,2.7682958,3.3060932,4.0141783,4.9485154,5.1018944,4.0113354,4.675427,4.1561847,3.2188547,4.242376,3.2248402,3.9754224,4.5213003,3.0759506,-0.741604,1.2731167,-0.025737667,-0.006584055,-0.587178,2.6856956,-2.1948843,-2.4366987,-3.3129766,-1.1869255,-2.5611973,-2.2679076,-1.3784616,-1.9686323,-1.0815806,0.12509704,-2.4678235,-0.9175778,-1.8764555,9.505878,9.50947,9.502287,6.0031614,9.311948,9.383775,9.425673,11.5672865,11.806706,9.471163,9.434052,9.42687,9.350255,9.36462,9.346664,9.417294,9.419687,19.6956,9.262867,9.234137,7.0398507,6.1740475,6.5427547,6.461352,7.911041,6.093842,7.3029137,1.7100586,0.058957215,-0.5587468,-1.1225814,0.32231942,-1.9416976,-1.3406034,-1.9454385,-0.31498715,-0.17971477,0.24046764,-0.7483377,0.07047931,7.521983,8.618527,4.11264,4.421492,5.7263317,10.626065,7.2071457,7.972093,6.407482,6.109404,6.449381,7.436989,7.3950906,6.5391636,6.0758853,10.398617,4.835689,7.3268557,6.7881603,5.48332
0.61770403,0.60932434,0.60693014,0.47165772,-0.009576807,-0.06344634,-1.091756,-0.688333,0.10295067,0.17597382,0.4417302,0.30166942,0.30406362,-0.04189853,-0.15203181,-0.24540567,-0.25857377,-4.2640734,-0.089782566,-0.24061728,0.8535329,-3.0054712,-5.399673,-6.348974,-4.4407954,-10.191668,-3.368193,-10.177302,-8.922741,-8.467842,-8.149115,-10.750115,-8.795998,-8.715792,-8.9781065,-8.888324,-7.2327337,-8.86558,-7.6708727,-9.883115,0.16564883,0.89588034,0.6085761,0.6265327,2.0379145,0.20754737,3.0805893,3.5905545,2.4138043,1.3256396,-0.84590137,3.680337,0.6875848,4.035876,3.9616556,1.6608278,1.3412019,1.5578771,-1.1547534,0.8372224,2.0277393,2.0325277,2.0444987,2.6741736,2.7424085,2.7112837,2.0816088,2.0911856,1.5872061,2.309058,2.4215853,2.4347534,2.7304375,2.5987563,2.6454432,2.4742577,2.3413796,3.4822168,2.346168,2.9937997,0.490961,3.6337996,5.1385555,3.6984432,4.505289,1.9913772,2.4797945,3.4207156,5.023933,4.8222213,5.8212023,6.667702,5.720795,5.0632877,4.9750013,4.2028713,4.3237786,3.008165,3.878457,3.3457472,4.26946,-0.3286042,-1.134253,0.3812766,0.6194997,-2.0153193,0.46746787,2.5300727,-1.8884265,-2.8951883,-1.1426327,-2.143409,-2.5983074,-2.3038206,-3.5380316,-3.0352492,0.741604,-2.794632,-4.575918,-1.8106151,9.505878,9.50947,9.505878,11.317092,9.424476,9.345467,9.484331,12.775161,7.850288,9.475951,9.425673,9.435249,9.349058,9.347861,9.38976,9.400534,9.496302,1.9485809,9.408914,9.250896,7.37863,7.1784153,4.0264487,8.1480665,5.6221843,3.366846,7.6440873,2.212841,0.58209026,-1.0543466,1.0429741,-0.31334114,0.094570965,-0.85098904,-0.90036947,-0.21203649,-0.09711481,-1.1242273,-0.45265377,-0.6681319,8.082227,9.755774,7.6249337,5.9489927,5.9489927,8.668806,6.180033,7.1113777,7.7087307,5.445013,9.640852,6.9186444,6.0663085,6.157288,7.711125,6.771401,7.5650787,7.4549456,5.5683146,9.03871
0.60932434,0.60693014,0.62728083,1.5179238,-0.047884032,-0.074220255,-1.0187328,0.15442601,-0.91937345,0.18435353,0.4405331,0.30047232,0.31244332,-0.034715924,-0.1328782,-0.25019407,-0.25378537,3.0789435,-0.025139118,-0.24061728,0.7781156,-4.0409636,-5.042937,-6.2496147,-4.273201,-9.131037,-3.453187,-11.516858,-10.767473,-8.941895,-10.406847,-8.079383,-9.6172085,-10.0625305,-11.294497,-10.199149,-8.578275,-9.855581,-8.409484,-8.106617,0.37873277,1.3579613,0.66124856,0.49126026,0.33803135,2.0223522,0.34042555,3.7868788,3.1536126,2.353949,-0.319177,4.3279686,2.483236,1.1185411,2.8291981,1.7984943,0.5463269,1.1017817,1.6991351,0.027982233,2.0193596,2.022951,2.0337248,-0.27787703,2.7795186,2.701707,2.0588639,1.9128175,1.5141829,2.310255,2.4467244,2.429965,2.73762,2.6346693,2.643049,2.4455273,2.3306057,-4.2342954,2.3605332,3.0057707,0.7890391,3.2722752,2.9442697,3.5116954,2.9095535,0.7918822,2.308609,3.779846,6.0989294,5.4746413,6.0881557,6.0895023,6.5898905,5.1123686,5.407155,5.2024508,4.322582,3.8557122,4.9522567,2.7938838,1.6023195,-0.32621,-0.7068881,-1.5915456,0.5883751,-0.42676646,-1.0301052,-1.0600328,-2.1721394,-2.0871453,0.15502456,-4.222773,-1.8070238,-1.0827777,-1.9602526,-4.7375264,0.65421563,-2.8257565,-1.2826935,-1.2599486,9.502287,9.496302,9.487922,10.060136,9.393352,9.39814,9.402928,9.24132,9.9033165,9.696218,9.420884,9.429264,9.35265,9.371803,9.359832,9.387365,9.407717,17.064373,9.468768,9.274838,7.208642,5.1050367,3.9187095,4.63697,5.099051,2.6581624,6.911462,1.2707225,-1.1620857,0.14993688,1.1315596,-1.6840216,-1.3551182,0.15936404,-0.9219173,-0.91593176,1.4507366,-1.963395,-0.58912325,-0.5292682,5.4917,7.542334,9.584588,9.3822775,6.8563952,5.6305637,8.764574,6.0890536,7.5866265,5.999271,7.5148005,6.130952,5.6640825,8.962095,6.7522473,4.9865236,9.578603,8.643666,5.569512,8.826823
